NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Last_Updated
AY0047,Epilepsy - Apasmara Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0048,Diarrhea - Atisara Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0049,Cough - Kasa Acute,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY0050,Cold - Pratishyaya,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0051,Hemorrhoids - Arsha Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0052,Urinary Stones - Ashmari Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0053,Jaundice - Kamala Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0054,Leucorrhea - Shweta Pradara Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0055,Impotence - Klaibya Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0056,Gout - Vatarakta Acute,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY0057,Sciatica - Gridhrasi,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY0058,Vertigo - Bhrama Vataja,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY0059,Sinusitis - Dushta Pratishyaya Pittaja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY0060,Bronchitis - Kasa Roga Kaphaja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0061,Fever - Jwara Sannipataja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY0062,Diabetes - Madhumeha Chronic,,Unknown,QA0A.10,special screening examination for diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0063,Hypertension - Rakta Gata Vata Acute,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY0064,Arthritis - Sandhivata,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY0065,Asthma - Tamaka Shwasa Vataja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0066,Migraine - Ardhavabhedaka Pittaja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0067,Depression - Vishada Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0068,Gastritis - Amlapitta Sannipataja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0069,Insomnia - Anidra Chronic,,Unknown,7A00,Chronic insomnia,0.400,Low,Optimized Semantic Matching,2025-09-04
AY0070,Constipation - Vibandha Acute,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0071,Obesity - Medoroga,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0072,Anemia - Pandu Vataja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY0073,Psoriasis - Kitibha Pittaja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0074,Eczema - Vicharchika Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0075,Urticaria - Sheetapitta Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0076,Rheumatism - Amavata Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0077,Epilepsy - Apasmara Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0078,Diarrhea - Atisara,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0079,Cough - Kasa Vataja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY0080,Cold - Pratishyaya Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0081,Hemorrhoids - Arsha Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0082,Urinary Stones - Ashmari Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0083,Jaundice - Kamala Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0084,Leucorrhea - Shweta Pradara Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0085,Impotence - Klaibya,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0086,Gout - Vatarakta Vataja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY0087,Sciatica - Gridhrasi Pittaja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY0088,Vertigo - Bhrama Kaphaja,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY0089,Sinusitis - Dushta Pratishyaya Sannipataja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY0090,Bronchitis - Kasa Roga Chronic,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0091,Fever - Jwara Acute,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
AY0092,Diabetes - Madhumeha,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0093,Hypertension - Rakta Gata Vata Vataja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY0094,Arthritis - Sandhivata Pittaja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY0095,Asthma - Tamaka Shwasa Kaphaja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0096,Migraine - Ardhavabhedaka Sannipataja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0097,Depression - Vishada Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0098,Gastritis - Amlapitta Acute,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0099,Insomnia - Anidra,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0100,Constipation - Vibandha Vataja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0101,Obesity - Medoroga Pittaja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0102,Anemia - Pandu Kaphaja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY0103,Psoriasis - Kitibha Sannipataja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0104,Eczema - Vicharchika Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0105,Urticaria - Sheetapitta Acute,,Unknown,EB00.0,Acute Urticaria,0.400,Low,Optimized Semantic Matching,2025-09-04
AY0106,Rheumatism - Amavata,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0107,Epilepsy - Apasmara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0108,Diarrhea - Atisara Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0109,Cough - Kasa Kaphaja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY0110,Cold - Pratishyaya Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0111,Hemorrhoids - Arsha Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0112,Urinary Stones - Ashmari Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0113,Jaundice - Kamala,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0114,Leucorrhea - Shweta Pradara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0115,Impotence - Klaibya Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0116,Gout - Vatarakta Kaphaja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY0117,Sciatica - Gridhrasi Sannipataja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY0118,Vertigo - Bhrama Chronic,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY0119,Sinusitis - Dushta Pratishyaya Acute,,Unknown,1E91.41,Acute herpetic geniculate ganglionitis,0.700,High,Optimized Semantic Matching,2025-09-04
AY0120,Bronchitis - Kasa Roga,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0121,Fever - Jwara Vataja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY0122,Diabetes - Madhumeha Pittaja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0123,Hypertension - Rakta Gata Vata Kaphaja,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY0124,Arthritis - Sandhivata Sannipataja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY0125,Asthma - Tamaka Shwasa Chronic,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0126,Migraine - Ardhavabhedaka Acute,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0127,Depression - Vishada,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0128,Gastritis - Amlapitta Vataja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0129,Insomnia - Anidra Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0130,Constipation - Vibandha Kaphaja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0131,Obesity - Medoroga Sannipataja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0132,Anemia - Pandu Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0133,Psoriasis - Kitibha Acute,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0134,Eczema - Vicharchika,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0135,Urticaria - Sheetapitta Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0136,Rheumatism - Amavata Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0137,Epilepsy - Apasmara Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0138,Diarrhea - Atisara Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0139,Cough - Kasa Chronic,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY0140,Cold - Pratishyaya Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0141,Hemorrhoids - Arsha,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0142,Urinary Stones - Ashmari Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0143,Jaundice - Kamala Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0144,Leucorrhea - Shweta Pradara Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0145,Impotence - Klaibya Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0146,Gout - Vatarakta Chronic,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY0147,Sciatica - Gridhrasi Acute,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY0148,Vertigo - Bhrama,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY0149,Sinusitis - Dushta Pratishyaya Vataja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY0150,Bronchitis - Kasa Roga Pittaja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0151,Fever - Jwara Kaphaja,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
AY0152,Diabetes - Madhumeha Sannipataja,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0153,Hypertension - Rakta Gata Vata Chronic,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY0154,Arthritis - Sandhivata Acute,,Unknown,1B41.1Z,"Acute rheumatic endocarditis, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
AY0155,Asthma - Tamaka Shwasa,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0156,Migraine - Ardhavabhedaka Vataja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0157,Depression - Vishada Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0158,Gastritis - Amlapitta Kaphaja,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0159,Insomnia - Anidra Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0160,Constipation - Vibandha Chronic,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0161,Obesity - Medoroga Acute,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0162,Anemia - Pandu,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY0163,Psoriasis - Kitibha Vataja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0164,Eczema - Vicharchika Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0165,Urticaria - Sheetapitta Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0166,Rheumatism - Amavata Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0167,Epilepsy - Apasmara Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0168,Diarrhea - Atisara Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0169,Cough - Kasa,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY0170,Cold - Pratishyaya Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0171,Hemorrhoids - Arsha Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0172,Urinary Stones - Ashmari Kaphaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0173,Jaundice - Kamala Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0174,Leucorrhea - Shweta Pradara Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0175,Impotence - Klaibya Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0176,Gout - Vatarakta,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY0177,Sciatica - Gridhrasi Vataja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
AY0178,Vertigo - Bhrama Pittaja,,Unknown,MB48.0,vertigo,0.800,High,Optimized Semantic Matching,2025-09-04
AY0179,Sinusitis - Dushta Pratishyaya Kaphaja,,Unknown,SC91,Nasal sinusitis disorder (TM1),0.700,High,Optimized Semantic Matching,2025-09-04
AY0180,Bronchitis - Kasa Roga Sannipataja,,Unknown,CA20,bronchitis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0181,Fever - Jwara Chronic,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
AY0182,Diabetes - Madhumeha Acute,,Unknown,QA0A.10,special screening examination for diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
AY0183,Hypertension - Rakta Gata Vata,,Unknown,MC80.0,"elevated bloodpressure reading, without diagnosis of hypertension",0.700,High,Optimized Semantic Matching,2025-09-04
AY0184,Arthritis - Sandhivata Vataja,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
AY0185,Asthma - Tamaka Shwasa Pittaja,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
AY0186,Migraine - Ardhavabhedaka Kaphaja,,Unknown,8A80,Migraine,0.800,High,Optimized Semantic Matching,2025-09-04
AY0187,Depression - Vishada Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0188,Gastritis - Amlapitta Chronic,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0189,Insomnia - Anidra Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0190,Constipation - Vibandha,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY0191,Obesity - Medoroga Vataja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY0192,Anemia - Pandu Pittaja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY0193,Psoriasis - Kitibha Kaphaja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY0194,Eczema - Vicharchika Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0195,Urticaria - Sheetapitta Chronic,,Unknown,EB00.1,Chronic Urticaria,0.400,Low,Optimized Semantic Matching,2025-09-04
AY0196,Rheumatism - Amavata Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0197,Epilepsy - Apasmara,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY0198,Diarrhea - Atisara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
