NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Medical_System,Last_Updated
AY0058,Vertigo - Bhrama Vataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0059,Sinusitis - Dushta Pratishyaya Pittaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0060,Bronchitis - Kasa Roga Kaphaja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0061,Fever - Jwara Sannipataja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0062,Diabetes - Madhumeha Chronic,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0063,Hypertension - Rakta Gata Vata Acute,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0064,Arthritis - Sandhivata,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0065,Asthma - Tamaka Shwasa Vataja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0066,Migraine - Ardhavabhedaka Pittaja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0067,Depression - Vishada Kaphaja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0068,Gastritis - Amlapitta Sannipataja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0069,Insomnia - Anidra Chronic,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0070,Constipation - Vibandha Acute,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0071,Obesity - Medoroga,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0072,Anemia - Pandu Vataja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0073,Psoriasis - Kitibha Pittaja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0074,Eczema - Vicharchika Kaphaja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0075,Urticaria - Sheetapitta Sannipataja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0076,Rheumatism - Amavata Chronic,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0077,Epilepsy - Apasmara Acute,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0078,Diarrhea - Atisara,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0079,Cough - Kasa Vataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0080,Cold - Pratishyaya Pittaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0081,Hemorrhoids - Arsha Kaphaja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0082,Urinary Stones - Ashmari Sannipataja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0083,Jaundice - Kamala Chronic,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0084,Leucorrhea - Shweta Pradara Acute,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0085,Impotence - Klaibya,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0086,Gout - Vatarakta Vataja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0087,Sciatica - Gridhrasi Pittaja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0088,Vertigo - Bhrama Kaphaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0089,Sinusitis - Dushta Pratishyaya Sannipataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0090,Bronchitis - Kasa Roga Chronic,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0091,Fever - Jwara Acute,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0092,Diabetes - Madhumeha,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0093,Hypertension - Rakta Gata Vata Vataja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0094,Arthritis - Sandhivata Pittaja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0095,Asthma - Tamaka Shwasa Kaphaja,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0096,Migraine - Ardhavabhedaka Sannipataja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0097,Depression - Vishada Chronic,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0098,Gastritis - Amlapitta Acute,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0099,Insomnia - Anidra,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0100,Constipation - Vibandha Vataja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0101,Obesity - Medoroga Pittaja,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0102,Anemia - Pandu Kaphaja,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0103,Psoriasis - Kitibha Sannipataja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0104,Eczema - Vicharchika Chronic,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0105,Urticaria - Sheetapitta Acute,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0106,Rheumatism - Amavata,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0107,Epilepsy - Apasmara Vataja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0108,Diarrhea - Atisara Pittaja,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0109,Cough - Kasa Kaphaja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0110,Cold - Pratishyaya Sannipataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0111,Hemorrhoids - Arsha Chronic,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0112,Urinary Stones - Ashmari Acute,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0113,Jaundice - Kamala,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0114,Leucorrhea - Shweta Pradara Vataja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0115,Impotence - Klaibya Pittaja,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0116,Gout - Vatarakta Kaphaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0117,Sciatica - Gridhrasi Sannipataja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0118,Vertigo - Bhrama Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0119,Sinusitis - Dushta Pratishyaya Acute,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0120,Bronchitis - Kasa Roga,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0121,Fever - Jwara Vataja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0122,Diabetes - Madhumeha Pittaja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0123,Hypertension - Rakta Gata Vata Kaphaja,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0124,Arthritis - Sandhivata Sannipataja,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0125,Asthma - Tamaka Shwasa Chronic,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0126,Migraine - Ardhavabhedaka Acute,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0127,Depression - Vishada,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0128,Gastritis - Amlapitta Vataja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0129,Insomnia - Anidra Pittaja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0130,Constipation - Vibandha Kaphaja,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0131,Obesity - Medoroga Sannipataja,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0132,Anemia - Pandu Chronic,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0133,Psoriasis - Kitibha Acute,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0134,Eczema - Vicharchika,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0135,Urticaria - Sheetapitta Vataja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0136,Rheumatism - Amavata Pittaja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0137,Epilepsy - Apasmara Kaphaja,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0138,Diarrhea - Atisara Sannipataja,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0139,Cough - Kasa Chronic,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0140,Cold - Pratishyaya Acute,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0141,Hemorrhoids - Arsha,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0142,Urinary Stones - Ashmari Vataja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0143,Jaundice - Kamala Pittaja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0144,Leucorrhea - Shweta Pradara Kaphaja,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0145,Impotence - Klaibya Sannipataja,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0146,Gout - Vatarakta Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0147,Sciatica - Gridhrasi Acute,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0148,Vertigo - Bhrama,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0149,Sinusitis - Dushta Pratishyaya Vataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0150,Bronchitis - Kasa Roga Pittaja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0151,Fever - Jwara Kaphaja,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0152,Diabetes - Madhumeha Sannipataja,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0153,Hypertension - Rakta Gata Vata Chronic,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
AY0154,Arthritis - Sandhivata Acute,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0155,Asthma - Tamaka Shwasa,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0156,Migraine - Ardhavabhedaka Vataja,,Unknown,8A80,Migraine,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0157,Depression - Vishada Pittaja,,Unknown,6A70,Single episode depressive disorder,0.950,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0158,Gastritis - Amlapitta Kaphaja,,Unknown,DA42,Gastritis,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0159,Insomnia - Anidra Sannipataja,,Unknown,7A00,Insomnia,0.980,Medical Expert,Expert Medical Knowledge,mental,2025-09-05
AY0160,Constipation - Vibandha Chronic,,Unknown,DD92,Constipation,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0161,Obesity - Medoroga Acute,,Unknown,5B81,Obesity,0.950,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0162,Anemia - Pandu,,Unknown,3A00,Anaemia,0.980,Medical Expert,Expert Medical Knowledge,hematological,2025-09-05
AY0163,Psoriasis - Kitibha Vataja,,Unknown,EA90,Psoriasis,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0164,Eczema - Vicharchika Pittaja,,Unknown,EA80,Atopic dermatitis,0.950,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0165,Urticaria - Sheetapitta Kaphaja,,Unknown,EA86,Urticaria,0.980,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
AY0166,Rheumatism - Amavata Sannipataja,,Unknown,FA20,Rheumatoid arthritis,0.980,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0167,Epilepsy - Apasmara Chronic,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
AY0168,Diarrhea - Atisara Acute,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0169,Cough - Kasa,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0170,Cold - Pratishyaya Vataja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0171,Hemorrhoids - Arsha Pittaja,,Unknown,DB33,Haemorrhoids,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0172,Urinary Stones - Ashmari Kaphaja,,Unknown,GC80,Urolithiasis,0.980,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0173,Jaundice - Kamala Sannipataja,,Unknown,DB90,Jaundice,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
AY0174,Leucorrhea - Shweta Pradara Chronic,,Unknown,GA34,Disorders of menstruation,0.900,Medical Expert,Expert Medical Knowledge,gynecological,2025-09-05
AY0175,Impotence - Klaibya Acute,,Unknown,HA00,Male sexual dysfunction,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
AY0176,Gout - Vatarakta,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0177,Sciatica - Gridhrasi Vataja,,Unknown,8B94,Sciatica,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
AY0178,Vertigo - Bhrama Pittaja,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
AY0179,Sinusitis - Dushta Pratishyaya Kaphaja,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0180,Bronchitis - Kasa Roga Sannipataja,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
AY0181,Fever - Jwara Chronic,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
AY0182,Diabetes - Madhumeha Acute,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
AY0183,Hypertension - Rakta Gata Vata,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
