NAMASTE_Code,NAMASTE_Display,NAMASTE_System,NAMASTE_Definition,ICD11_TM2_Code,ICD11_TM2_Display,ICD11_TM2_Category,Equivalence_Type,Mapping_Accuracy,Clinical_Validation,Traditional_Name_Sanskrit,Traditional_Name_Arabic,Traditional_Name_Tamil
AY0019,Cough - Kasa Sannipataja,Ayurveda,Cough condition with traditional Ayurvedic understanding Sannipataja,MD11,Cough,Respiratory,equivalent,98.8,approved,कास,,
AY0020,Cold - Pratishyaya Chronic,Ayurveda,Cold condition with traditional Ayurvedic understanding Chronic,CA00,Common cold,Respiratory,equivalent,99.0,approved,प्रतिश्याय,,
AY0021,Hemorrhoids - Arsha Acute,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Acute,DB31,Haemorrhoids,Digestive,equivalent,98.3,approved,अर्श,,
AY0022,Urinary Stones - Ashmari,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding,GC01,Kidney stone,Genitourinary,equivalent,98.6,approved,अश्मरी,,
AY0023,Jaundice - Kamala Vataja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Vataja,DB90,Hepatitis unspecified,Digestive,equivalent,98.7,approved,कामला,,
AY0024,Leucorrhea - Shweta Pradara Pittaja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Pittaja,GC08,Vaginal discharge,Genitourinary,equivalent,99.3,approved,श्वेत प्रदर,,
AY0025,Impotence - Klaibya Kaphaja,Ayurveda,Impotence condition with traditional Ayurvedic understanding Kaphaja,HA01,Erectile dysfunction,Genitourinary,equivalent,99.6,approved,क्लैब्य,,
AY0026,Gout - Vatarakta Sannipataja,Ayurveda,Gout condition with traditional Ayurvedic understanding Sannipataja,FA25,Gout,Musculoskeletal,equivalent,98.9,approved,वातरक्त,,
AY0027,Sciatica - Gridhrasi Chronic,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Chronic,8B93,Sciatica,Neurological,equivalent,99.3,approved,गृध्रसी,,
AY0028,Vertigo - Bhrama Acute,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Acute,MB48,Vertigo,Neurological,equivalent,98.9,approved,भ्रम,,
AY0029,Sinusitis - Dushta Pratishyaya,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding,CA11,Sinusitis,Respiratory,equivalent,99.9,approved,दुष्ट प्रतिश्याय,,
AY0030,Bronchitis - Kasa Roga Vataja,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Vataja,CA40,Bronchitis,Respiratory,equivalent,98.2,approved,कास रोग,,
AY0031,Fever - Jwara Pittaja,Ayurveda,Fever condition with traditional Ayurvedic understanding Pittaja,MG30.0,Fever unspecified,Symptoms,equivalent,98.4,approved,ज्वर,,
AY0032,Diabetes - Madhumeha Kaphaja,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Kaphaja,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,99.0,approved,मधुमेह,,
AY0033,Hypertension - Rakta Gata Vata Sannipataja,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Sannipataja,BA00,Essential hypertension,Circulatory,equivalent,99.4,approved,रक्तगत वात,,
AY0034,Arthritis - Sandhivata Chronic,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Chronic,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,98.2,approved,संधिवात,,
AY0035,Asthma - Tamaka Shwasa Acute,Ayurveda,Asthma condition with traditional Ayurvedic understanding Acute,CA23,Asthma,Respiratory,equivalent,99.8,approved,तमक श्वास,,
AY0036,Migraine - Ardhavabhedaka,Ayurveda,Migraine condition with traditional Ayurvedic understanding,8A80,Migraine,Neurological,equivalent,98.6,approved,अर्धावभेदक,,
AY0037,Depression - Vishada Vataja,Ayurveda,Depression condition with traditional Ayurvedic understanding Vataja,6A70,Single episode depressive disorder,Mental,equivalent,99.0,approved,विषाद,,
AY0038,Gastritis - Amlapitta Pittaja,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Pittaja,DA60,Gastritis,Digestive,equivalent,98.8,approved,अम्लपित्त,,
AY0039,Insomnia - Anidra Kaphaja,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Kaphaja,7A00,Insomnia,Sleep,equivalent,99.9,approved,अनिद्रा,,
AY0040,Constipation - Vibandha Sannipataja,Ayurveda,Constipation condition with traditional Ayurvedic understanding Sannipataja,ME05,Constipation,Digestive,equivalent,99.0,approved,विबन्ध,,
AY0041,Obesity - Medoroga Chronic,Ayurveda,Obesity condition with traditional Ayurvedic understanding Chronic,5B81,Obesity,Endocrine,equivalent,98.2,approved,मेदोरोग,,
AY0042,Anemia - Pandu Acute,Ayurveda,Anemia condition with traditional Ayurvedic understanding Acute,3A00,Iron deficiency anaemia,Blood,equivalent,99.4,approved,पाण्डु,,
AY0043,Psoriasis - Kitibha,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding,EA90,Psoriasis,Dermatological,equivalent,98.8,approved,कितिभ,,
AY0044,Eczema - Vicharchika Vataja,Ayurveda,Eczema condition with traditional Ayurvedic understanding Vataja,EA80,Atopic dermatitis,Dermatological,equivalent,99.8,approved,विचर्चिका,,
AY0045,Urticaria - Sheetapitta Pittaja,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Pittaja,EB01,Acute urticaria,Dermatological,equivalent,98.0,approved,शीतपित्त,,
AY0046,Rheumatism - Amavata Kaphaja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Kaphaja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,98.2,approved,आमवात,,
AY0047,Epilepsy - Apasmara Sannipataja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Sannipataja,8A61,Epilepsy,Neurological,equivalent,98.8,approved,अपस्मार,,
AY0048,Diarrhea - Atisara Chronic,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Chronic,1E10,Diarrhoea,Digestive,equivalent,99.8,approved,अतिसार,,
AY0049,Cough - Kasa Acute,Ayurveda,Cough condition with traditional Ayurvedic understanding Acute,MD11,Cough,Respiratory,equivalent,98.1,approved,कास,,
AY0050,Cold - Pratishyaya,Ayurveda,Cold condition with traditional Ayurvedic understanding,CA00,Common cold,Respiratory,equivalent,98.4,approved,प्रतिश्याय,,
AY0051,Hemorrhoids - Arsha Vataja,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Vataja,DB31,Haemorrhoids,Digestive,equivalent,99.3,approved,अर्श,,
AY0052,Urinary Stones - Ashmari Pittaja,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Pittaja,GC01,Kidney stone,Genitourinary,equivalent,98.3,approved,अश्मरी,,
AY0053,Jaundice - Kamala Kaphaja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Kaphaja,DB90,Hepatitis unspecified,Digestive,equivalent,99.9,approved,कामला,,
AY0054,Leucorrhea - Shweta Pradara Sannipataja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Sannipataja,GC08,Vaginal discharge,Genitourinary,equivalent,99.2,approved,श्वेत प्रदर,,
AY0055,Impotence - Klaibya Chronic,Ayurveda,Impotence condition with traditional Ayurvedic understanding Chronic,HA01,Erectile dysfunction,Genitourinary,equivalent,98.9,approved,क्लैब्य,,
AY0056,Gout - Vatarakta Acute,Ayurveda,Gout condition with traditional Ayurvedic understanding Acute,FA25,Gout,Musculoskeletal,equivalent,99.4,approved,वातरक्त,,
AY0057,Sciatica - Gridhrasi,Ayurveda,Sciatica condition with traditional Ayurvedic understanding,8B93,Sciatica,Neurological,equivalent,99.7,approved,गृध्रसी,,
AY0058,Vertigo - Bhrama Vataja,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Vataja,MB48,Vertigo,Neurological,equivalent,98.7,approved,भ्रम,,
AY0059,Sinusitis - Dushta Pratishyaya Pittaja,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Pittaja,CA11,Sinusitis,Respiratory,equivalent,99.8,approved,दुष्ट प्रतिश्याय,,
AY0060,Bronchitis - Kasa Roga Kaphaja,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Kaphaja,CA40,Bronchitis,Respiratory,equivalent,99.9,approved,कास रोग,,
AY0061,Fever - Jwara Sannipataja,Ayurveda,Fever condition with traditional Ayurvedic understanding Sannipataja,MG30.0,Fever unspecified,Symptoms,equivalent,99.8,approved,ज्वर,,
AY0062,Diabetes - Madhumeha Chronic,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Chronic,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,98.8,approved,मधुमेह,,
AY0063,Hypertension - Rakta Gata Vata Acute,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Acute,BA00,Essential hypertension,Circulatory,equivalent,98.8,approved,रक्तगत वात,,
AY0064,Arthritis - Sandhivata,Ayurveda,Arthritis condition with traditional Ayurvedic understanding,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,98.8,approved,संधिवात,,
AY0065,Asthma - Tamaka Shwasa Vataja,Ayurveda,Asthma condition with traditional Ayurvedic understanding Vataja,CA23,Asthma,Respiratory,equivalent,100.0,approved,तमक श्वास,,
AY0066,Migraine - Ardhavabhedaka Pittaja,Ayurveda,Migraine condition with traditional Ayurvedic understanding Pittaja,8A80,Migraine,Neurological,equivalent,99.2,approved,अर्धावभेदक,,
AY0067,Depression - Vishada Kaphaja,Ayurveda,Depression condition with traditional Ayurvedic understanding Kaphaja,6A70,Single episode depressive disorder,Mental,equivalent,99.1,approved,विषाद,,
AY0068,Gastritis - Amlapitta Sannipataja,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Sannipataja,DA60,Gastritis,Digestive,equivalent,100.0,approved,अम्लपित्त,,
AY0069,Insomnia - Anidra Chronic,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Chronic,7A00,Insomnia,Sleep,equivalent,99.3,approved,अनिद्रा,,
AY0070,Constipation - Vibandha Acute,Ayurveda,Constipation condition with traditional Ayurvedic understanding Acute,ME05,Constipation,Digestive,equivalent,100.0,approved,विबन्ध,,
AY0071,Obesity - Medoroga,Ayurveda,Obesity condition with traditional Ayurvedic understanding,5B81,Obesity,Endocrine,equivalent,98.9,approved,मेदोरोग,,
AY0072,Anemia - Pandu Vataja,Ayurveda,Anemia condition with traditional Ayurvedic understanding Vataja,3A00,Iron deficiency anaemia,Blood,equivalent,99.5,approved,पाण्डु,,
AY0073,Psoriasis - Kitibha Pittaja,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Pittaja,EA90,Psoriasis,Dermatological,equivalent,98.0,approved,कितिभ,,
AY0074,Eczema - Vicharchika Kaphaja,Ayurveda,Eczema condition with traditional Ayurvedic understanding Kaphaja,EA80,Atopic dermatitis,Dermatological,equivalent,99.8,approved,विचर्चिका,,
AY0075,Urticaria - Sheetapitta Sannipataja,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Sannipataja,EB01,Acute urticaria,Dermatological,equivalent,98.4,approved,शीतपित्त,,
AY0076,Rheumatism - Amavata Chronic,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Chronic,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,99.3,approved,आमवात,,
AY0077,Epilepsy - Apasmara Acute,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Acute,8A61,Epilepsy,Neurological,equivalent,98.9,approved,अपस्मार,,
AY0078,Diarrhea - Atisara,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding,1E10,Diarrhoea,Digestive,equivalent,98.3,approved,अतिसार,,
AY0079,Cough - Kasa Vataja,Ayurveda,Cough condition with traditional Ayurvedic understanding Vataja,MD11,Cough,Respiratory,equivalent,98.4,approved,कास,,
AY0080,Cold - Pratishyaya Pittaja,Ayurveda,Cold condition with traditional Ayurvedic understanding Pittaja,CA00,Common cold,Respiratory,equivalent,98.6,approved,प्रतिश्याय,,
AY0081,Hemorrhoids - Arsha Kaphaja,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Kaphaja,DB31,Haemorrhoids,Digestive,equivalent,100.0,approved,अर्श,,
AY0082,Urinary Stones - Ashmari Sannipataja,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Sannipataja,GC01,Kidney stone,Genitourinary,equivalent,98.2,approved,अश्मरी,,
AY0083,Jaundice - Kamala Chronic,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Chronic,DB90,Hepatitis unspecified,Digestive,equivalent,98.7,approved,कामला,,
AY0084,Leucorrhea - Shweta Pradara Acute,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Acute,GC08,Vaginal discharge,Genitourinary,equivalent,99.2,approved,श्वेत प्रदर,,
AY0085,Impotence - Klaibya,Ayurveda,Impotence condition with traditional Ayurvedic understanding,HA01,Erectile dysfunction,Genitourinary,equivalent,99.4,approved,क्लैब्य,,
AY0086,Gout - Vatarakta Vataja,Ayurveda,Gout condition with traditional Ayurvedic understanding Vataja,FA25,Gout,Musculoskeletal,equivalent,98.0,approved,वातरक्त,,
AY0087,Sciatica - Gridhrasi Pittaja,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Pittaja,8B93,Sciatica,Neurological,equivalent,99.1,approved,गृध्रसी,,
AY0088,Vertigo - Bhrama Kaphaja,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Kaphaja,MB48,Vertigo,Neurological,equivalent,98.6,approved,भ्रम,,
AY0089,Sinusitis - Dushta Pratishyaya Sannipataja,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Sannipataja,CA11,Sinusitis,Respiratory,equivalent,99.1,approved,दुष्ट प्रतिश्याय,,
AY0090,Bronchitis - Kasa Roga Chronic,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding Chronic,CA40,Bronchitis,Respiratory,equivalent,99.9,approved,कास रोग,,
AY0091,Fever - Jwara Acute,Ayurveda,Fever condition with traditional Ayurvedic understanding Acute,MG30.0,Fever unspecified,Symptoms,equivalent,99.0,approved,ज्वर,,
AY0092,Diabetes - Madhumeha,Ayurveda,Diabetes condition with traditional Ayurvedic understanding,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,98.8,approved,मधुमेह,,
AY0093,Hypertension - Rakta Gata Vata Vataja,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Vataja,BA00,Essential hypertension,Circulatory,equivalent,99.1,approved,रक्तगत वात,,
AY0094,Arthritis - Sandhivata Pittaja,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Pittaja,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,98.7,approved,संधिवात,,
AY0095,Asthma - Tamaka Shwasa Kaphaja,Ayurveda,Asthma condition with traditional Ayurvedic understanding Kaphaja,CA23,Asthma,Respiratory,equivalent,98.4,approved,तमक श्वास,,
AY0096,Migraine - Ardhavabhedaka Sannipataja,Ayurveda,Migraine condition with traditional Ayurvedic understanding Sannipataja,8A80,Migraine,Neurological,equivalent,98.6,approved,अर्धावभेदक,,
AY0097,Depression - Vishada Chronic,Ayurveda,Depression condition with traditional Ayurvedic understanding Chronic,6A70,Single episode depressive disorder,Mental,equivalent,99.0,approved,विषाद,,
AY0098,Gastritis - Amlapitta Acute,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Acute,DA60,Gastritis,Digestive,equivalent,98.5,approved,अम्लपित्त,,
AY0099,Insomnia - Anidra,Ayurveda,Insomnia condition with traditional Ayurvedic understanding,7A00,Insomnia,Sleep,equivalent,99.6,approved,अनिद्रा,,
AY0100,Constipation - Vibandha Vataja,Ayurveda,Constipation condition with traditional Ayurvedic understanding Vataja,ME05,Constipation,Digestive,equivalent,99.8,approved,विबन्ध,,
AY0101,Obesity - Medoroga Pittaja,Ayurveda,Obesity condition with traditional Ayurvedic understanding Pittaja,5B81,Obesity,Endocrine,equivalent,98.5,approved,मेदोरोग,,
AY0102,Anemia - Pandu Kaphaja,Ayurveda,Anemia condition with traditional Ayurvedic understanding Kaphaja,3A00,Iron deficiency anaemia,Blood,equivalent,98.7,approved,पाण्डु,,
AY0103,Psoriasis - Kitibha Sannipataja,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Sannipataja,EA90,Psoriasis,Dermatological,equivalent,99.7,approved,कितिभ,,
AY0104,Eczema - Vicharchika Chronic,Ayurveda,Eczema condition with traditional Ayurvedic understanding Chronic,EA80,Atopic dermatitis,Dermatological,equivalent,98.6,approved,विचर्चिका,,
AY0105,Urticaria - Sheetapitta Acute,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Acute,EB01,Acute urticaria,Dermatological,equivalent,99.4,approved,शीतपित्त,,
AY0106,Rheumatism - Amavata,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,99.7,approved,आमवात,,
AY0107,Epilepsy - Apasmara Vataja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Vataja,8A61,Epilepsy,Neurological,equivalent,99.0,approved,अपस्मार,,
AY0108,Diarrhea - Atisara Pittaja,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Pittaja,1E10,Diarrhoea,Digestive,equivalent,99.9,approved,अतिसार,,
AY0109,Cough - Kasa Kaphaja,Ayurveda,Cough condition with traditional Ayurvedic understanding Kaphaja,MD11,Cough,Respiratory,equivalent,98.8,approved,कास,,
AY0110,Cold - Pratishyaya Sannipataja,Ayurveda,Cold condition with traditional Ayurvedic understanding Sannipataja,CA00,Common cold,Respiratory,equivalent,98.0,approved,प्रतिश्याय,,
AY0111,Hemorrhoids - Arsha Chronic,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding Chronic,DB31,Haemorrhoids,Digestive,equivalent,98.7,approved,अर्श,,
AY0112,Urinary Stones - Ashmari Acute,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Acute,GC01,Kidney stone,Genitourinary,equivalent,99.6,approved,अश्मरी,,
AY0113,Jaundice - Kamala,Ayurveda,Jaundice condition with traditional Ayurvedic understanding,DB90,Hepatitis unspecified,Digestive,equivalent,98.5,approved,कामला,,
AY0114,Leucorrhea - Shweta Pradara Vataja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Vataja,GC08,Vaginal discharge,Genitourinary,equivalent,99.4,approved,श्वेत प्रदर,,
AY0115,Impotence - Klaibya Pittaja,Ayurveda,Impotence condition with traditional Ayurvedic understanding Pittaja,HA01,Erectile dysfunction,Genitourinary,equivalent,98.3,approved,क्लैब्य,,
AY0116,Gout - Vatarakta Kaphaja,Ayurveda,Gout condition with traditional Ayurvedic understanding Kaphaja,FA25,Gout,Musculoskeletal,equivalent,98.3,approved,वातरक्त,,
AY0117,Sciatica - Gridhrasi Sannipataja,Ayurveda,Sciatica condition with traditional Ayurvedic understanding Sannipataja,8B93,Sciatica,Neurological,equivalent,98.4,approved,गृध्रसी,,
AY0118,Vertigo - Bhrama Chronic,Ayurveda,Vertigo condition with traditional Ayurvedic understanding Chronic,MB48,Vertigo,Neurological,equivalent,98.8,approved,भ्रम,,
AY0119,Sinusitis - Dushta Pratishyaya Acute,Ayurveda,Sinusitis condition with traditional Ayurvedic understanding Acute,CA11,Sinusitis,Respiratory,equivalent,98.3,approved,दुष्ट प्रतिश्याय,,
AY0120,Bronchitis - Kasa Roga,Ayurveda,Bronchitis condition with traditional Ayurvedic understanding,CA40,Bronchitis,Respiratory,equivalent,98.5,approved,कास रोग,,
AY0121,Fever - Jwara Vataja,Ayurveda,Fever condition with traditional Ayurvedic understanding Vataja,MG30.0,Fever unspecified,Symptoms,equivalent,99.0,approved,ज्वर,,
AY0122,Diabetes - Madhumeha Pittaja,Ayurveda,Diabetes condition with traditional Ayurvedic understanding Pittaja,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,98.3,approved,मधुमेह,,
AY0123,Hypertension - Rakta Gata Vata Kaphaja,Ayurveda,Hypertension condition with traditional Ayurvedic understanding Kaphaja,BA00,Essential hypertension,Circulatory,equivalent,98.6,approved,रक्तगत वात,,
AY0124,Arthritis - Sandhivata Sannipataja,Ayurveda,Arthritis condition with traditional Ayurvedic understanding Sannipataja,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,99.0,approved,संधिवात,,
AY0125,Asthma - Tamaka Shwasa Chronic,Ayurveda,Asthma condition with traditional Ayurvedic understanding Chronic,CA23,Asthma,Respiratory,equivalent,99.5,approved,तमक श्वास,,
AY0126,Migraine - Ardhavabhedaka Acute,Ayurveda,Migraine condition with traditional Ayurvedic understanding Acute,8A80,Migraine,Neurological,equivalent,99.6,approved,अर्धावभेदक,,
AY0127,Depression - Vishada,Ayurveda,Depression condition with traditional Ayurvedic understanding,6A70,Single episode depressive disorder,Mental,equivalent,98.6,approved,विषाद,,
AY0128,Gastritis - Amlapitta Vataja,Ayurveda,Gastritis condition with traditional Ayurvedic understanding Vataja,DA60,Gastritis,Digestive,equivalent,98.7,approved,अम्लपित्त,,
AY0129,Insomnia - Anidra Pittaja,Ayurveda,Insomnia condition with traditional Ayurvedic understanding Pittaja,7A00,Insomnia,Sleep,equivalent,99.9,approved,अनिद्रा,,
AY0130,Constipation - Vibandha Kaphaja,Ayurveda,Constipation condition with traditional Ayurvedic understanding Kaphaja,ME05,Constipation,Digestive,equivalent,99.7,approved,विबन्ध,,
AY0131,Obesity - Medoroga Sannipataja,Ayurveda,Obesity condition with traditional Ayurvedic understanding Sannipataja,5B81,Obesity,Endocrine,equivalent,98.9,approved,मेदोरोग,,
AY0132,Anemia - Pandu Chronic,Ayurveda,Anemia condition with traditional Ayurvedic understanding Chronic,3A00,Iron deficiency anaemia,Blood,equivalent,99.7,approved,पाण्डु,,
AY0133,Psoriasis - Kitibha Acute,Ayurveda,Psoriasis condition with traditional Ayurvedic understanding Acute,EA90,Psoriasis,Dermatological,equivalent,99.5,approved,कितिभ,,
AY0134,Eczema - Vicharchika,Ayurveda,Eczema condition with traditional Ayurvedic understanding,EA80,Atopic dermatitis,Dermatological,equivalent,99.7,approved,विचर्चिका,,
AY0135,Urticaria - Sheetapitta Vataja,Ayurveda,Urticaria condition with traditional Ayurvedic understanding Vataja,EB01,Acute urticaria,Dermatological,equivalent,100.0,approved,शीतपित्त,,
AY0136,Rheumatism - Amavata Pittaja,Ayurveda,Rheumatism condition with traditional Ayurvedic understanding Pittaja,FA20,Rheumatoid arthritis,Musculoskeletal,equivalent,98.1,approved,आमवात,,
AY0137,Epilepsy - Apasmara Kaphaja,Ayurveda,Epilepsy condition with traditional Ayurvedic understanding Kaphaja,8A61,Epilepsy,Neurological,equivalent,100.0,approved,अपस्मार,,
AY0138,Diarrhea - Atisara Sannipataja,Ayurveda,Diarrhea condition with traditional Ayurvedic understanding Sannipataja,1E10,Diarrhoea,Digestive,equivalent,99.3,approved,अतिसार,,
AY0139,Cough - Kasa Chronic,Ayurveda,Cough condition with traditional Ayurvedic understanding Chronic,MD11,Cough,Respiratory,equivalent,98.8,approved,कास,,
AY0140,Cold - Pratishyaya Acute,Ayurveda,Cold condition with traditional Ayurvedic understanding Acute,CA00,Common cold,Respiratory,equivalent,99.3,approved,प्रतिश्याय,,
AY0141,Hemorrhoids - Arsha,Ayurveda,Hemorrhoids condition with traditional Ayurvedic understanding,DB31,Haemorrhoids,Digestive,equivalent,99.3,approved,अर्श,,
AY0142,Urinary Stones - Ashmari Vataja,Ayurveda,Urinary Stones condition with traditional Ayurvedic understanding Vataja,GC01,Kidney stone,Genitourinary,equivalent,98.6,approved,अश्मरी,,
AY0143,Jaundice - Kamala Pittaja,Ayurveda,Jaundice condition with traditional Ayurvedic understanding Pittaja,DB90,Hepatitis unspecified,Digestive,equivalent,98.1,approved,कामला,,
AY0144,Leucorrhea - Shweta Pradara Kaphaja,Ayurveda,Leucorrhea condition with traditional Ayurvedic understanding Kaphaja,GC08,Vaginal discharge,Genitourinary,equivalent,99.9,approved,श्वेत प्रदर,,
AY0145,Impotence - Klaibya Sannipataja,Ayurveda,Impotence condition with traditional Ayurvedic understanding Sannipataja,HA01,Erectile dysfunction,Genitourinary,equivalent,98.1,approved,क्लैब्य,,
AY0146,Gout - Vatarakta Chronic,Ayurveda,Gout condition with traditional Ayurvedic understanding Chronic,FA25,Gout,Musculoskeletal,equivalent,99.7,approved,वातरक्त,,
